id	lfp_change
19153	-0.006
19155	-0.006
19157	-0.006
19159	-0.006
19161	-0.006
19163	-0.006
19165	-0.006
19167	-0.006
19169	-0.006
19171	-0.006
19173	-0.006
19175	-0.006
19177	-0.006
19179	-0.006
19181	-0.006
19183	-0.006
19185	-0.006
19187	-0.006
19189	-0.006
19191	-0.006
19193	-0.006
19195	-0.006
19197	-0.006
20001	-0.017
20003	-0.017
20005	-0.017
20007	-0.017
20009	-0.017
20011	-0.017
20013	-0.017
20015	-0.017
20017	-0.017
20019	-0.017
20021	-0.017
20023	-0.017
20025	-0.017
20027	-0.017
20029	-0.017
20031	-0.017
20033	-0.017
20035	-0.017
20037	-0.017
20039	-0.017
20041	-0.017
20043	-0.017
20045	-0.017
20047	-0.017
20049	-0.017
20051	-0.017
20053	-0.017
20055	-0.017
20057	-0.017
20059	-0.017
20061	-0.017
20063	-0.017
20065	-0.017
20067	-0.017
20069	-0.017
20071	-0.017
20073	-0.017
20075	-0.017
20077	-0.017
20079	-0.017
20081	-0.017
20083	-0.017
20085	-0.017
20087	-0.017
20089	-0.017
20091	-0.017
20093	-0.017
20095	-0.017
20097	-0.017
20099	-0.017
20101	-0.017
20103	-0.017
20105	-0.017
20107	-0.017
20109	-0.017
20111	-0.017
20113	-0.017
20115	-0.017
20117	-0.017
20119	-0.017
20121	-0.017
20123	-0.017
20125	-0.017
20127	-0.017
20129	-0.017
20131	-0.017
20133	-0.017
20135	-0.017
20137	-0.017
20139	-0.017
20141	-0.017
20143	-0.017
20145	-0.017
20147	-0.017
20149	-0.017
20151	-0.017
20153	-0.017
20155	-0.017
20157	-0.017
20159	-0.017
20161	-0.017
20163	-0.017
20165	-0.017
20167	-0.017
20169	-0.017
20171	-0.017
20173	-0.017
20175	-0.017
20177	-0.017
20179	-0.017
20181	-0.017
20183	-0.017
20185	-0.017
20187	-0.017
20189	-0.017
20191	-0.017
20193	-0.017
20195	-0.017
20197	-0.017
20199	-0.017
20201	-0.017
20203	-0.017
20205	-0.017
20207	-0.017
20209	-0.017
21001	-0.041
21003	-0.041
21005	-0.041
21007	-0.041
21009	-0.041
21011	-0.041
21013	-0.041
21015	-0.041
21017	-0.041
21019	-0.041
21021	-0.041
21023	-0.041
21025	-0.041
21027	-0.041
21029	-0.041
21031	-0.041
21033	-0.041
21035	-0.041
21037	-0.041
21039	-0.041
21041	-0.041
21043	-0.041
21045	-0.041
21047	-0.041
21049	-0.041
21051	-0.041
21053	-0.041
21055	-0.041
21057	-0.041
21059	-0.041
21061	-0.041
21063	-0.041
21065	-0.041
21067	-0.041
21069	-0.041
21071	-0.041
21073	-0.041
21075	-0.041
21077	-0.041
21079	-0.041
21081	-0.041
21083	-0.041
21085	-0.041
21087	-0.041
21089	-0.041
21091	-0.041
21093	-0.041
21095	-0.041
21097	-0.041
21099	-0.041
21101	-0.041
21103	-0.041
21105	-0.041
21107	-0.041
21109	-0.041
21111	-0.041
21113	-0.041
21115	-0.041
21117	-0.041
21119	-0.041
21121	-0.041
21123	-0.041
21125	-0.041
21127	-0.041
21129	-0.041
21131	-0.041
21133	-0.041
21135	-0.041
21137	-0.041
21139	-0.041
21141	-0.041
21143	-0.041
21145	-0.041
21147	-0.041
21149	-0.041
21151	-0.041
21153	-0.041
21155	-0.041
21157	-0.041
21159	-0.041
21161	-0.041
21163	-0.041
21165	-0.041
21167	-0.041
21169	-0.041
21171	-0.041
21173	-0.041
21175	-0.041
21177	-0.041
21179	-0.041
21181	-0.041
21183	-0.041
21185	-0.041
21187	-0.041
21189	-0.041
21191	-0.041
21193	-0.041
21195	-0.041
21197	-0.041
21199	-0.041
21201	-0.041
21203	-0.041
21205	-0.041
21207	-0.041
21209	-0.041
21211	-0.041
21213	-0.041
21215	-0.041
21217	-0.041
21219	-0.041
21221	-0.041
21223	-0.041
21225	-0.041
21227	-0.041
21229	-0.041
21231	-0.041
21233	-0.041
21235	-0.041
21237	-0.041
21239	-0.041
22001	-0.017
22003	-0.017
22005	-0.017
22007	-0.017
22009	-0.017
22011	-0.017
22013	-0.017
22015	-0.017
22017	-0.017
22019	-0.017
22021	-0.017
22023	-0.017
22025	-0.017
22027	-0.017
22029	-0.017
22031	-0.017
22033	-0.017
22035	-0.017
22037	-0.017
22039	-0.017
22041	-0.017
22043	-0.017
22045	-0.017
22047	-0.017
22049	-0.017
22051	-0.017
22053	-0.017
22055	-0.017
22057	-0.017
22059	-0.017
22061	-0.017
22063	-0.017
22065	-0.017
22067	-0.017
22069	-0.017
22071	-0.017
22073	-0.017
22075	-0.017
22077	-0.017
22079	-0.017
22081	-0.017
22083	-0.017
22085	-0.017
22087	-0.017
22089	-0.017
22091	-0.017
22093	-0.017
22095	-0.017
22097	-0.017
22099	-0.017
22101	-0.017
22103	-0.017
22105	-0.017
22107	-0.017
22109	-0.017
22111	-0.017
22113	-0.017
22115	-0.017
22117	-0.017
22119	-0.017
22121	-0.017
22123	-0.017
22125	-0.017
22127	-0.017
23001	-0.043
23003	-0.043
23005	-0.043
23007	-0.043
23009	-0.043
23011	-0.043
23013	-0.043
23015	-0.043
23017	-0.043
23019	-0.043
23021	-0.043
23023	-0.043
23025	-0.043
23027	-0.043
23029	-0.043
23031	-0.043
24001	-0.036
24003	-0.036
24005	-0.036
24009	-0.036
24011	-0.036
24013	-0.036
24015	-0.036
24017	-0.036
24019	-0.036
24021	-0.036
24023	-0.036
24025	-0.036
24027	-0.036
24029	-0.036
24031	-0.036
24033	-0.036
24035	-0.036
24037	-0.036
24039	-0.036
24041	-0.036
24043	-0.036
24045	-0.036
24047	-0.036
24510	-0.036
25001	-0.021
25003	-0.021
25005	-0.021
25007	-0.021
25009	-0.021
25011	-0.021
25013	-0.021
25015	-0.021
25017	-0.021
25019	-0.021
25021	-0.021
25023	-0.021
25025	-0.021
25027	-0.021
26001	-0.040
26003	-0.040
26005	-0.040
26007	-0.040
26009	-0.040
26011	-0.040
26013	-0.040
26015	-0.040
26017	-0.040
26019	-0.040
26021	-0.040
26023	-0.040
26025	-0.040
26027	-0.040
26029	-0.040
26031	-0.040
26033	-0.040
26035	-0.040
26037	-0.040
26039	-0.040
26041	-0.040
26043	-0.040
26045	-0.040
26047	-0.040
26049	-0.040
26051	-0.040
26053	-0.040
26055	-0.040
26057	-0.040
26059	-0.040
26061	-0.040
26063	-0.040
26065	-0.040
26067	-0.040
26069	-0.040
26071	-0.040
26073	-0.040
26075	-0.040
26077	-0.040
26079	-0.040
26081	-0.040
26083	-0.040
26085	-0.040
26087	-0.040
26089	-0.040
26091	-0.040
26093	-0.040
26095	-0.040
26097	-0.040
26099	-0.040
26101	-0.040
26103	-0.040
26105	-0.040
26107	-0.040
26109	-0.040
26111	-0.040
26113	-0.040
26115	-0.040
26117	-0.040
26119	-0.040
26121	-0.040
26123	-0.040
26125	-0.040
26127	-0.040
26129	-0.040
26131	-0.040
26133	-0.040
26135	-0.040
26137	-0.040
26139	-0.040
26141	-0.040
26143	-0.040
26145	-0.040
26147	-0.040
26149	-0.040
26151	-0.040
26153	-0.040
26155	-0.040
26157	-0.040
26159	-0.040
26161	-0.040
26163	-0.040
26165	-0.040
27001	-0.017
27003	-0.017
27005	-0.017
27007	-0.017
27009	-0.017
27011	-0.017
27013	-0.017
27015	-0.017
27017	-0.017
27019	-0.017
27021	-0.017
27023	-0.017
27025	-0.017
27027	-0.017
27029	-0.017
27031	-0.017
27033	-0.017
27035	-0.017
27037	-0.017
27039	-0.017
27041	-0.017
27043	-0.017
27045	-0.017
27047	-0.017
27049	-0.017
27051	-0.017
27053	-0.017
27055	-0.017
27057	-0.017
27059	-0.017
27061	-0.017
27063	-0.017
27065	-0.017
27067	-0.017
27069	-0.017
27071	-0.017
27073	-0.017
27075	-0.017
27077	-0.017
27079	-0.017
27081	-0.017
27083	-0.017
27085	-0.017
27087	-0.017
27089	-0.017
27091	-0.017
27093	-0.017
27095	-0.017
27097	-0.017
27099	-0.017
27101	-0.017
27103	-0.017
27105	-0.017
27107	-0.017
27109	-0.017
27111	-0.017
27113	-0.017
27115	-0.017
27117	-0.017
27119	-0.017
27121	-0.017
27123	-0.017
27125	-0.017
27127	-0.017
27129	-0.017
27131	-0.017
27133	-0.017
27135	-0.017
27137	-0.017
27139	-0.017
27141	-0.017
27143	-0.017
27145	-0.017
27147	-0.017
27149	-0.017
27151	-0.017
27153	-0.017
27155	-0.017
27157	-0.017
27159	-0.017
27161	-0.017
27163	-0.017
27165	-0.017
27167	-0.017
27169	-0.017
27171	-0.017
27173	-0.017
28001	-0.056
28003	-0.056
28005	-0.056
28007	-0.056
28009	-0.056
28011	-0.056
28013	-0.056
28015	-0.056
28017	-0.056
28019	-0.056
28021	-0.056
28023	-0.056
28025	-0.056
28027	-0.056
28029	-0.056
28031	-0.056
28033	-0.056
28035	-0.056
28037	-0.056
28039	-0.056
28041	-0.056
28043	-0.056
28045	-0.056
28047	-0.056
28049	-0.056
28051	-0.056
28053	-0.056
28055	-0.056
28057	-0.056
28059	-0.056
28061	-0.056
28063	-0.056
28065	-0.056
28067	-0.056
28069	-0.056
28071	-0.056
28073	-0.056
28075	-0.056
28077	-0.056
28079	-0.056
28081	-0.056
28083	-0.056
28085	-0.056
28087	-0.056
28089	-0.056
28091	-0.056
28093	-0.056
28095	-0.056
28097	-0.056
28099	-0.056
28101	-0.056
28103	-0.056
28105	-0.056
28107	-0.056
28109	-0.056
28111	-0.056
28113	-0.056
28115	-0.056
28117	-0.056
28119	-0.056
28121	-0.056
28123	-0.056
28125	-0.056
28127	-0.056
28129	-0.056
28131	-0.056
28133	-0.056
28135	-0.056
28137	-0.056
28139	-0.056
28141	-0.056
28143	-0.056
28145	-0.056
28147	-0.056
28149	-0.056
28151	-0.056
28153	-0.056
28155	-0.056
28157	-0.056
28159	-0.056
28161	-0.056
28163	-0.056
29001	-0.031
29003	-0.031
29005	-0.031
29007	-0.031
29009	-0.031
29011	-0.031
29013	-0.031
29015	-0.031
29017	-0.031
29019	-0.031
29021	-0.031
29023	-0.031
29025	-0.031
29027	-0.031
29029	-0.031
29031	-0.031
29033	-0.031
29035	-0.031
29037	-0.031
29039	-0.031
29041	-0.031
29043	-0.031
29045	-0.031
29047	-0.031
29049	-0.031
29051	-0.031
29053	-0.031
29055	-0.031
29057	-0.031
29059	-0.031
29061	-0.031
29063	-0.031
29065	-0.031
29067	-0.031
29069	-0.031
29071	-0.031
29073	-0.031
29075	-0.031
29077	-0.031
29079	-0.031
29081	-0.031
29083	-0.031
29085	-0.031
29087	-0.031
29089	-0.031
29091	-0.031
29093	-0.031
29095	-0.031
29097	-0.031
29099	-0.031
29101	-0.031
29103	-0.031
29105	-0.031
29107	-0.031
29109	-0.031
29111	-0.031
29113	-0.031
29115	-0.031
29117	-0.031
29119	-0.031
29121	-0.031
29123	-0.031
29125	-0.031
29127	-0.031
29129	-0.031
29131	-0.031
29133	-0.031
29135	-0.031
29137	-0.031
29139	-0.031
29141	-0.031
29143	-0.031
29145	-0.031
29147	-0.031
29149	-0.031
29151	-0.031
29153	-0.031
29155	-0.031
29157	-0.031
29159	-0.031
29161	-0.031
29163	-0.031
29165	-0.031
29167	-0.031
29169	-0.031
29171	-0.031
29173	-0.031
29175	-0.031
29177	-0.031
29179	-0.031
29181	-0.031
29183	-0.031
29185	-0.031
29186	-0.031
29187	-0.031
29189	-0.031
29195	-0.031
29197	-0.031
29199	-0.031
29201	-0.031
29203	-0.031
29205	-0.031
29207	-0.031
29209	-0.031
29211	-0.031
29213	-0.031
29215	-0.031
29217	-0.031
29219	-0.031
29221	-0.031
29223	-0.031
29225	-0.031
29227	-0.031
29229	-0.031
29510	-0.031
30001	-0.014
30003	-0.014
30005	-0.014
30007	-0.014
30009	-0.014
30011	-0.014
30013	-0.014
30015	-0.014
30017	-0.014
30019	-0.014
30021	-0.014
30023	-0.014
30025	-0.014
30027	-0.014
30029	-0.014
30031	-0.014
30033	-0.014
30035	-0.014
30037	-0.014
30039	-0.014
30041	-0.014
30043	-0.014
30045	-0.014
30047	-0.014
30049	-0.014
30051	-0.014
30053	-0.014
30055	-0.014
30057	-0.014
30059	-0.014
30061	-0.014
30063	-0.014
30065	-0.014
30067	-0.014
30069	-0.014
30071	-0.014
30073	-0.014
30075	-0.014
30077	-0.014
30079	-0.014
30081	-0.014
30083	-0.014
30085	-0.014
30087	-0.014
30089	-0.014
30091	-0.014
30093	-0.014
30095	-0.014
30097	-0.014
30099	-0.014
30101	-0.014
30103	-0.014
30105	-0.014
30107	-0.014
30109	-0.014
30111	-0.014
31001	-0.027
31003	-0.027
31005	-0.027
31007	-0.027
31009	-0.027
31011	-0.027
31013	-0.027
31015	-0.027
31017	-0.027
31019	-0.027
31021	-0.027
31023	-0.027
31025	-0.027
31027	-0.027
31029	-0.027
31031	-0.027
31033	-0.027
31035	-0.027
31037	-0.027
31039	-0.027
31041	-0.027
31043	-0.027
31045	-0.027
31047	-0.027
31049	-0.027
31051	-0.027
31053	-0.027
31055	-0.027
31057	-0.027
31059	-0.027
31061	-0.027
31063	-0.027
31065	-0.027
31067	-0.027
31069	-0.027
31071	-0.027
31073	-0.027
31075	-0.027
31077	-0.027
31079	-0.027
31081	-0.027
31083	-0.027
31085	-0.027
31087	-0.027
31089	-0.027
31091	-0.027
31093	-0.027
31095	-0.027
31097	-0.027
31099	-0.027
31101	-0.027
31103	-0.027
31105	-0.027
31107	-0.027
31109	-0.027
31111	-0.027
31113	-0.027
31115	-0.027
31117	-0.027
31119	-0.027
31121	-0.027
31123	-0.027
31125	-0.027
31127	-0.027
31129	-0.027
31131	-0.027
31133	-0.027
31135	-0.027
31137	-0.027
31139	-0.027
31141	-0.027
31143	-0.027
31145	-0.027
31147	-0.027
31149	-0.027
31151	-0.027
31153	-0.027
31155	-0.027
31157	-0.027
31159	-0.027
31161	-0.027
31163	-0.027
31165	-0.027
31167	-0.027
31169	-0.027
31171	-0.027
31173	-0.027
31175	-0.027
31177	-0.027
31179	-0.027
31181	-0.027
31183	-0.027
